Section,Title,Date,Time,Authors,URL,Content
games,The Daily Nexus Crossword 2/15,15-Feb-24,8:00 AM,['Angelina Song'],https://dailynexus.com/2024-02-15/the-daily-nexus-crossword-2-15/,"
ACROSS



1. Commonly eaten for breakfast ” often with milk


5. The great outdoors


10. To be defenseless, with no weapons


11. To ___ one's thumbs (be idle)


12. NaCl


13. When a tree is abundantly green


15. Parts of a play


17. Foxes are often described as such


19. To have made a rotation


21. Capital city of Germany


22. To submit monetary sums in a bank account


23. The art of creation, decoration and more


25. Big group of people who live in an area, who may or may not share similar cultures


28. A gesture of respect


30. Rescuing someone


31. A colloquial term that has been adopted to be used as an affirmation of someone else's statement


32. ""Tell her to call me ____ ” it's an emergency""


35. Often done by burglars, pirates, incoming armies and stray cats


36. When waves recede quickly at the beach, often associated with an earthquake


37. Who raised you?


38. The entire purpose of fidget spinners




DOWN



2. Often the counterpart in a narcissistic relationship


3. ""Beef,"" ""Succession"" and ""The Bear"" won this award


4. ""_____ and gentlemen, welcome to the 76th Hunger Games.""


5. When electronics bear news for the recipient


6. A psychedelic experience


7. The group who beheaded Louis XVI and Marie Antoinette in 1793


8. Isla Vista at 5 p.m.


9. The addition of salt, pepper, paprika, cloves, etc.


14. A neurotoxin, but consumed regardless


16. A pooled investment fund, often managed by someone


18. Steel


20. Where the lion sleeps


21. Trash and recycling ____


23. To want


24. Scattered grassland biome


26. Noodles will claim they are this but they actually take 3-5 minutes to make


27. Square piece of soft, folded paper used when eating


28. Picnic _______


29. Counterpart to the season Megan Thee Stallion claimed


33. Organism that does not produce eggs


34. Head, shoulders and chest




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 2/22,22-Feb-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-02-22/the-daily-nexus-crossword-2-22/,"
ACROSS



1. Device that allows electrical equipment to connect to a power supply


5. Mason Ramsey's debut single


10. Straight line touching a curve at a point


11. To motivate and encourage


12. First name of a giant, white sperm whale from a well-known adventure novel


13. Each one is used to defend brains against zombies in a 2009 video game


15. Sugar molecules, for short


17. Dark Minecraft dimension inhabited by a dragon


19. Small wheel, usually in a set, that is attached to the bottom of furniture


21. Golfer's assistant


22. To sustain or furnish with food


23. Danny Zuko and Sandy Olsson fall in love in this musical


25. Slowly trickling out


28. Zero or Nothing


30. ____'s slogan is ""We have the meats!""


31. Global investment firm, Swiss watchmaker and English dynasty


32. Heat gained by a calorimeter


35. To remove unwanted buds


36. Music-operating device, usually operated by a coin


37. E.g. simultaneous in-person and online learning


38. One of the oldest philosophy journals




DOWN



2. Large bill consisting of multiple smaller bills on a certain topic


3. Sharp or resourceful


4. To inform on a playmate


5. Companion or ally


6. City in Arizona; means ""table"" in Spanish


7. One-piece, skintight garment with long legs


8. Type of bomb featured in ""Oppenheimer""


9. Small, smooth stone


14. Rival of Apple iOS


16. Form of a verb


18. Search engine powered by Microsoft Bing


20. Fully ripe ovarian fish eggs


21. Community Service Organization (abbr.)


23. Thousands of dollars


24. Diplomatic mission in a foreign country


26. Rock band from Calabasas formed in 1991


27. ""A long time ago in a ______ far, far away ....""


28. Gave medical attention to


29. Deadlock or impasse


33. Low, rumbling sound made by cats


34. Having similar qualities




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 2/29,29-Feb-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-02-29/the-daily-nexus-crossword-2-29/,"
ACROSS



1. Blue Muppet character


5. Video hosting social media platform owned by ByteDance


10. _______birds can fly upside down and backward


11. Language traditionally spoken by Ashkenazi Jews


12. Close or within reach


13. Feeling of weariness or dissatisfaction


15. UCSB is home to the California ____Systems Institute


17. Control system that tracks computer file changes


19. Cowboy's cry of joy


21. Unwell or sickly


22. Four-player, tile-based game developed in China


23. Award recognizing outstanding music achievement


25. The nature of reality in Hinduism and Buddhism


28. ___ Fridays (restaurant chain)


30. The tallest monument in the United States is the Gateway ____


31. Flower native to Europe, North America and Asia


32. 5 UC's explicitly offer this major field, and 3 others offer related majors


35. Common in the [32 Across] industry


36. Beyond the suburbs


37. One who mends minds or bodies 


38. Touch, strong or lean




DOWN



2. Movie starring Dwayne Johnson as Davis Okoye


3. Operator that evaluates an expression and returns an undefined value


4. ______ Waters (water park)


5. Required to play a competitive sport


6. 1-877-Kars-4-____


7. Japanese art of paper folding


8. Traditional folk song sung at sea while working


9. Crowd of people


14. TV show where a team of LEGO ninjas practices Spinjitzu


16. Rays which have the most energy of any electromagnetic waves


18. Illumination source


20. Path or track


21. Common conjunction


23. To take a quick look


24. Collection of old documents


26. Consists of seven colors


27. Nuts high in protein, fiber, antioxidants and fat


28. Generalization of matrices, vectors and scalars


29. Multiple inserts


33. Where Congress convenes


34. To scorch or char




Print  Î”  Î” grover is not from muppet he is SESAME STREET 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 3/07,7-Mar-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-03-07/the-daily-nexus-crossword-3-07/,"
ACROSS



1. Silk spinner


5. ""The ___"" (1999 Keanu Reeves movie)


10. Precisely or absolutely


11. Love affair or novel genre


12. Aspiration or desire


13. Bollywood trilogy franchise starring officer Jai Dixit


15. Ctrl+Z


17."" ___ In Black"" (Film franchise)


19. Apologetic or remorseful


21. Brands of this product include Kleenex and Puffs


22. Simplistic or less


23. Central vein of a leaf


25. 0% milk


28. Test in morphological linguistics where children complete statements about pictures with nonsense names


30. ""Three Blind ____""


31. Typically seats C and D in an aircraft with a 3-3 configuration


32. Upon or atop


35. Company that produces television ratings


36. Cruel or oppressive rule


37. Arrangement where third-party temporarily holds funds


38. Exclamation of excitement




DOWN



2. Instance or case


3. Typically done on election day


4. Repeated movement of sound


5. ""Animals"" was written by ______ 5


6. Represented by a clock


7. Major League Baseball has 9 of these


8. California ______ regularly travels from Chicago to Emeryville


9. ""______ He Cheats"" (Carrie Underwood song)


14. King of Thebes


16. Describes a damp and hot atmosphere


18. Flies a plane


20. Improvisers ad-___ their lines


21. Yellowish-brown


23. ""One ______ in Time"" (Whitney Houston song)


24. Author of ""Oliver Twist"" and ""A Christmas Carol""


26. Business major concerning profits


27. Name for TNT


28. To sift, sort or blow


29. Glamorous and fancy


33. Autonomous sensory meridian response, for short


34. Physical device for capturing




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 4/11,11-Apr-24,8:00 AM,"['Siddharth Chattoraj', 'Angelina Song']",https://dailynexus.com/2024-04-11/the-daily-nexus-crossword-4-11/,"
ACROSS



1. Light wind


5. Not a single person; alone


10. Styling of the hair often involving shears and combs


11. Michigan State University's and San Jose State University's mascot


12. Water falling from the sky


13. To remove pins


15. First name of the author of ""Beloved""


17. Organizational strategy created by the Open Compliance and Ethics Group regarding ethical management, risk management and adherence to standards and laws, for short 


19. Produced by fermenting milk with bacteria


21. A crucial or decisive point or situation, often a difficult or unstable time


22. Pertaining to an item of high quality from a past era


23. To acquire or gain possession


25. Small piece of kitchenware, usually with a handle, for drinking warm liquids


28. U.S. Environmental Protection Agency's credits for compliance with the Renewable Fuel Standard program, for short


30. Plant genus whose petal data comprises a popular Kaggle dataset


31. Biological blueprints carried in DNA


32. Cool and swag, usually referring to clothing


35. To sustain with food or nutriment; to support and promote growth


36. The success in a competition or struggle; triumph


37. Coldplay song about unrequited love


38. Season characterized by the blossoming of flowers and warmer weather




DOWN



2. Barrier often found on stairs or a balcony


3. Individually or per item


4. Consuming food


5. Describes movement in plants that is a response to stimuli but directionally independent of it


6. Common fastening device or a Hollywood actor's first name


7. Obedient and respectful


8. Fleshy red fruit


9. Opens a fastener on clothing by pulling a tab


14. Essential nutrients found in meat, beans and nuts


16. Surname of sports commentator and hall of fame football player who was a wide receiver for the Dallas Cowboys for 12 years


18. To say ""hello"" or welcome someone


20. Chemical element with the symbol Sn


21. Taxes on profit occurring from sales of assets, for short


23. Vegetables that might bring tears to your eyes in the kitchen


24. Katniss Everdeen in ""The Hunger Games""


26. For example, ""The Simpsons,"" ""South Park,"" and ""The Flintstones""


27. Tropical fruit with sweet orange flesh and central black seeds


28. To display again


29. Anxiety, worry or fear about a looming event or action


33. Cash register or drawer for storing money


34. Mark left on the skin after a wound has healed




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 4/18,18-Apr-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-04-18/the-daily-nexus-crossword-4-18/,"
ACROSS



1. Blossom seen in gardens


5. Seabird with colorful beak


10. Football player making a defensive play


11. Distilled beverage made from blue agave


12. Accurate or faithful; Boolean operator


13. Taylor Swift song about a guy who has long hair, slicked back


15. ____ and Jill went up the hill to fetch a pail of water


17. Statement of affirmation


19. An interjection commonly said during toasts


21. To influence or make an impression


22. To persist, survive and withstand


23. Musical interval spanning eight notes


25. Protective headgear; typically an afterthought at UCSB


28. Final Minecraft dimension


30. Elsa's sister


31. Furious or irate


32. Hot and dry, usually refers to climate


35. Immensely or considerably


36. Preventive shot


37. For example, freestyle and butterfly


38. Partially dried grape




DOWN



2. To scold or rebuke


3. Document stating a dead person's wishes


4. Pony whose cutie mark consists of three diamonds


5. Colored leaves of a flower's corolla


6. Common help page section, for short


7. To behave similarly or reproduce closely 


8. Fixed and unchanging


9. Place for buying and selling


14. Shouting, screaming, or hollering


16. Group of trees


18. Frequently and constantly


20. To file a lawsuit


21. Fireplace residue


23. Combination of red and yellow


24. Sine divided by cosine


26. Cocktail made with gin and vermouth


27. Neater or cleaner


28. Biological catalyst that speeds up the rate of chemical reactions


29. For example, chauffeurs or rideshare operators


33. First name of the first chancellor of Germany


34. The named ingredient in two of Blender's three bowls




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 4/25,25-Apr-24,10:13 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-04-25/the-daily-nexus-crossword-4-25/,"
ACROSS



1. Robust or powerful


5. Evening phenomenon that paints the sky


10. Dante's fiery realm


11. Closest planet to the sun


12. Country located between Iran and Saudi Arabia


13. Mark that is difficult to remove


15. Polynesian carved figure


17. Tiny house


19. Time of greatest success or strength


21. Part of a shirt where the arm goes through


22. Converted into ions


23. Gold-colored alloy used for decorative mounts


25. Type of dance move performed off the ground


28. Cheer commonly heard at soccer games


30. Vehicle hailed for a ride


31. Venue for sports or concerts


32. Harry Potter's patronus


35. Invaded or swamped beyond capacity


36. International sign language used by many in the deaf community


37. Word used to express politeness


38. Greatly surprised or astonished




DOWN



2. Famous name in fine jewelry


3. Fearsome creature in fairy tales; for example, Shrek


4. Increase in size or number


5. Highest point of a mountain


6. Fifth emperor of Rome


7. Scholarly and learned


8. Complete or bring to an end


9. Line in a newspaper naming the writer


14. Quarterback's last-second change at the line of scrimmage


16. Sends letters or packages


18. Related to times past


20. ""I love ___, ___ love me, We're a happy family.""


21. Large body of saltwater


23. To surpass in cunning; to outsmart


24. Famous physicist with a demon named after him


26. Enter without permission


27. Body of water located behind UCSB's University Center


28. Fruit known for its vitamin C content 


29. Something mysterious or puzzling


33. Region or section of a place


34. U.S. agency ensuring workplace safety




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 5/02,2-May-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-05-02/the-daily-nexus-crossword-5-02/,"
ACROSS



1. European country whose flag contains red, white and blue vertical stripes


5. The state of being equal


10. Foreshadowing evil


11. Large area of flat or rolling, grassy land typically located in the Mississippi Valley


12. Famous Universal Pictures shark movie


13. Segmented worm parasite


15. Competition to see who or what is the fastest


17. Line closed at one end and pointing straight indefinitely in the other


19. Radio word that signals distress


21. Microorganism that can only live and grow in the presence of air or free oxygen


22. Adjective commonly used to describe the act of controlling a horse


23. People who jump off surfaces to enter the water


25. Courageous and brave


28. Oldest stock exchange in Asia, for short


30. Scarce and infrequent


31. Whole or complete


32. First name of famous Russian composer who created the ""The Rite Of Spring""


35. Company that developed Pok©mon Go


36. Equal distribution of weight


37. Protective head covering usually worn when biking


38. Main meal usually eaten during evening or night




DOWN



2. System of tracks where trains travel


3. Slang for a new, inexperienced gamer


4. Holiday celebrating the resurrection of Jesus Christ


5. Office of the Pope


6. Surface where cars travel


7. Twisting force of nature


8. Impasse or deadlock


9. Peacefully calm


14. Oscar Wilde wrote ""The Importance of Being _______""


16. First name of singers Manilow or White


18. Pertaining to law


20. Affirmative response


21. Common conjunction


23. Boldly courageous


24. Famous Italian fashion house


26. Naive young woman, often in drama


27. Plot for plants


28. Small North American wildcat


29. Earbud


33. Smallest particle of an element


34. First name of the man who helped decode German Enigma machines during World War II



 This crossword was corrected on May 6, 2024 to reflect that the clue for 22 Across should be ""Adjective commonly used to describe the act of controlling a horse"" rather than ""Adjective commonly used to describe current sports champions"" and acknowledge that 23 Down and 25 Across have the same answer.
Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Mother's Day Crossword 5/09,9-May-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-05-09/the-daily-nexus-mothers-day-crossword-5-09/,"
ACROSS



1. Not apart, especially on the day you celebrate Mom


5. What Mom might wish to be on a lazy Sunday morning


9.  Explored through family stories and history


10. Furry friend that might bring Mom joy


12. Your Mom is usually present, either live or in spirit when you tie the ____


13. A common favorite sweet treat to gift on Mother's Day


15. Term of endearment often used by mothers


17. Respect and admiration expressed toward Mom on Mother's Day


19. A place for pickups, often involving gifts or supplies


20. Daydream filled with happy memories of Mom


23. If your mother is a __________, you should gift her [13 Across]


25. Footwear that Mom might enjoy shopping from


28. Recipients of mom's invaluable life lessons and guidance


29. Buds and flourishes, just as plants do in spring


30. Like a mother's unconditional love, often incomparable anywhere else


31. How children often feel about their moms, especially when young




DOWN



1. A word of gratitude, often repeated


2. Mothers of many species of this reptile guard their eggs until they [26 Down]


3. Something Mom often has a long list of


4. Close enough to hear the usual ""Mom!"" calls


6. Mothers usually take care of their children since they were _____


7. Your mother is responsible for your _________


8. What mothers feel when surrounded by loved ones


11. Often what moms endure with a smile


14. What mothers try to give in raising their children


15. Mom is usually the first _________ in our lives


16. Something cold, but nothing compared to Mom's warm hugs


17. What many children see their Mom as


18. A vital role played by mothers, both formally and informally


20. An area in the home, often reflecting the spirit of the one who decorates it


21. Often jokingly said about Mom when she's enjoying a well-deserved pampering session


22. Playfully mocked by siblings


24. Like mom's pride displayed for all to see on her special day


26. A broody hen will sit on her eggs for approximately three weeks until they _____ and her children are born


27. Address for ""mother"" commonly used by people who speak Malayalam or Tamil




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 5/16,16-May-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-05-16/the-daily-nexus-crossword-5-16/,"
ACROSS



1. To conceptualize and create


5. Magical or medicinal potion


10. Arsenal, Manchester City and Liverpool are currently at the top of the _______ League standings


11. To be below or in a lower position


12. The tour Taylor Swift is on


13. Type of story Aesop is best known for writing


15. Basketball player who won five championships with the Los Angeles Lakers over his 20-year NBA career


17. Type of deep learning model ChatGPT is, for short


19. Half the diameter of a circle


21. Australia, Bali, Jamaica, Maui and Sicily, for example


22. Convent of nuns


23. Branch of science that deals with vision and light


25. To be stingy or cheap


28. Beatrice, for short


30. Backstage workers in the [24 Down]


31. Updates to a computer program, usually for security purposes


32. Latin word for water


35. Number without decimal or fractional components


36. Happens at the end of an outstanding performance


37. Object sold by Crayola since 1903


38. The person who sits in the front left seat of a car in America




DOWN



2. Birthstone for May


3. Greek word for rainbow


4. Statistical distribution whose standardized version has a mean of 0 and a variance of 1


5. To prevent decay, usually with chemicals


6. Cations and anions


7. [31 Across]-based projections design software 


8. Magicians may ______ from thin air as part of their act


9. Strand of fabric


14. Comfort cloth for teething infant


16. Meal usually eaten in the middle of the day


18. Scientific study of mental states and behavior, for short


20. Term for dubious behavior in Among Us


21. Department of Treasury bureau that administers taxes, for short


23. Delicate flower and popular houseplant that generally needs water once or twice a wee


24. Hatlen or Pollock, for example


26. To see information or investigate


27. The Great ______ are located in the interior of the United States


28. Adjective describing infertile [27 Down]


29. 2003 Accra Peace Agreement, Treaty of Versailles or Agreement on Ending the War and Restoring Peace in Vietnam, for example


33. Adjective describing the fairy tale ""duckling"" who became a swan


34. Vehicle for hire, usually yellow




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Mini Crosswords 5/23,23-May-24,8:00 AM,"['Lauren Chiou', 'Suryaansh Dongre']",https://dailynexus.com/2024-05-23/the-daily-nexus-mini-crosswords-5-23/,"Mini Crossword #1 By: Lauren Chiou  Mini Crossword #2 By: Lauren Chiou  Mini Crossword #3 By: Lauren Chiou  Mini Crossword #4 By: Lauren Chiou and Suryaansh Dongre  



ACROSSDOWN




1. Not 2, not to1. Not yesterday, not tomorrow


4. Between for > 22. The band is __ __ 7 p.m.


6. Lead singer Om of The _____3. Shrek species


7. Seething4. Dry, like desert


8. Sandra ___ O'Connor5. Wife of Phoenix




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Best of UCSB Crossword 5/30,30-May-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-05-30/the-daily-nexus-best-of-ucsb-crossword-5-30/,"ACROSS



1. Professional journey explored at UCSB's Gaucho fairs


5. Drink that can be DoorDashed


10. Free in the dorms


11. Software primarily used by the AlloSphere Research Group


12. Weather phenomena sporadically occurring in the Winter and Spring at UCSB


13. Horror show usually drawing large crowds and featuring a shadow cast


15. Action on an annoying bug at UCSB dorms


17. Society that elected professor emerita Brenda Major in May


19. What a student who pulls an all-nighter during finals week does afterward


21. Job of the professional staff at the Associated Students Legal Resource Center who help students with legal advice


22. A _______ (model of excellence) of a student


23. To soothe the mind, like a Devereux Beach visit


25. Position played by former UCSB soccer player Leroy Zeller, who recently signed with Alemannia Aachen


28. Forty-five of these life-saving devices are provided on UCSB's campus, courtesy of UCSB's Heart Saver Programming


30. Type of noodles offered by Yoshinoya at the Courtyard Cafe 


31. Job held by student CLAS workers


32. Former dean of the Purdue University College of Engineering


35. Trendy, like a new craze at UCSB


36. Mark left behind, like UCSB's impact on its graduates


37. Role of each of the people who designed this newspaper


38. Type of seven trees planted in Storke Plaza through the Urban Orchard Project




DOWN



2. A sign or omen, often looked for by UCSB students before exams


3. Adjective to describe one's time at UCSB


4. The ______ UCSB is located in is Southern California


5. Quick bites bought from the Arbor


6. Not aesthetically pleasing, like some UCSB dorm rooms by the year's end


7. Don't stop _______ across the bike path


8. Blades wielded by warriors, like those studied in history class


9. The friend who alleviates your stress during finals week


14. Shrunken Heads' musical performed in the Lotte Lehmann Concert Hall


16. Tech company whose software the Campus Store offers troubleshooting diagnostics and repairs for


18. Small boat, sometimes paddled on UCSB's lagoon


20. ___'s To Go is located near Blenders and Hana Kitchen


21. Type of report updated by the UCSB Police Department for daily crimes and fires


23. Best place to smoke in Isla Vista


24. The streets of Del Playa Drive on Friday nights


26. Renting out properties, common for owners of off-campus housing


27. Top floor in the library


28. Job of Maxine Hong Kingston, who spoke at the UCSB MultiCultural Center about writing, family and activism on April 20


29. You would never catch a young Caesar dead at ______'s Pizza


33. A subtle clue, occasionally given by professors during exams


34. Indian restaurant in Downtown Santa Barbara



 Andrew Tolu contributed to clue creation.
Print  Î”  Î” Hey everyone! Have you heard about this new service where you can top up mobile phones and games in over 196 countries? It's incredible how global connectivity is being simplified at TopUp Balance . Not only can you recharge mobile credit, but you can also buy eSIMs and gift cards. It's particularly handy for frequent travelers and gamers who need instant access to services worldwide. Imagine the convenience of not having to search for local providers every time TopUp-Balance you enter a new country. This could really revolutionize how we stay connected and entertained.Â  
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
