Section,Title,Authors,Date,URL,Title_Sentiment
['News'],UCSB Workers for Palestine lead campus walkout; strike vote to be held as early as next week,['Michelle Cisneros'],2024-05-10,https://dailynexus.com/2024-05-10/ucsb-workers-for-palestine-lead-campus-walkout-strike-vote-to-be-held-as-early-as-next-week/,Negative
['News'],UC hires firm to investigate violence at UCLA encampments,['Alex Levin'],2024-05-13,https://dailynexus.com/2024-05-13/uc-hires-firm-to-investigate-violence-at-ucla-encampments/,Negative
['News'],"Encampment enters third week, makes little progress in University negotiations",['Lizzy Rager'],2024-05-15,https://dailynexus.com/2024-05-15/encampment-enters-third-week-makes-little-progress-in-university-negotiations/,Positive
['News'],UCSB Liberated Zone holds die-in for Palestine outside library entrance,"['Anushka Ghosh Dastidar', 'Michelle Cisneros']",2024-05-15,https://dailynexus.com/2024-05-15/ucsb-liberated-zone-holds-die-in-for-palestine-outside-library-entrance/,Neutral
['News'],MSA organizes fundraiser for aid in Palestine,['Dmitri Anh-Minh Tran'],2024-05-24,https://dailynexus.com/2024-05-24/msa-organizes-fundraiser-for-aid-in-palestine/,Neutral
['News'],"Five weeks into encampment, Liberated Zone has established an autonomous society",['Anushka Ghosh Dastidar'],2024-05-30,https://dailynexus.com/2024-05-30/five-weeks-into-encampment-liberated-zone-has-established-an-autonomous-society/,Neutral
['News'],Community rallies for A.S. divestment resolution with market and march,"['Michelle Cisneros', 'Josh Rhodes']",2024-06-03,https://dailynexus.com/2024-06-03/community-rallies-for-a-s-divestment-resolution-with-market-and-march/,Neutral
['News'],Pro-Palestine student protestors occupying Girvetz Hall met with police presence,"['Anushka Ghosh Dastidar', 'Lizzy Rager']",2024-06-12,https://dailynexus.com/2024-06-12/pro-palestine-student-protestors-occupying-girvetz-hall-met-with-police-presence/,Neutral
['News'],"A.S. Senate passes bill to divest A.S. funds from Boycott, Divestment and Sanctions list corporations","['Michelle Cisneros', 'Dmitri Anh-Minh Tran']",2024-06-20,https://dailynexus.com/2024-06-20/a-s-senate-passes-bill-to-divest-a-s-funds-from-boycott-divestment-and-sanctions-list-corporations/,Negative
['News'],"Police disband UCSB Liberated Zone Encampment, five arrested","['Anushka Ghosh Dastidar', 'Lizzy Rager']",2024-06-23,https://dailynexus.com/2024-06-23/police-disband-ucsb-liberated-zone-encampment-six-arrested/,Negative
